key,n,dice,sensitivity,specificity,hd95,alpha_mae
baseline_3x3_manual,30,0.7047797018450797,0.8834381324427247,0.9849254960151356,3.509472321005225,0.030115833692252635
mod2_5x5_single_scale,30,0.669227875934725,0.8400617341839128,0.9853106284998854,3.688258413724357,0.030624808464199304
mod1234_no_hybrid,30,0.6680947540497989,0.8398024724823188,0.9853271511566555,3.6795454034563155,0.03072531558573246
full_method,30,0.6703153917888578,0.849297895773223,0.9846752609947794,3.653721965562002,0.08433095241586368
